id,"file","name","slug","description",video_category_id,"image_id","release_date","created_at","updated_at"
53,"060921e99c.mp4","China Tang","china-tang",,2,"LMS798Nj","2017-01-01","2017-02-09 08:52:24","2017-02-09 08:52:24"
54,"dd0b2f859e.mp4","Fish School","fish-school",,2,"UDkCWRlj","2017-01-01","2017-02-09 08:52:24","2017-02-09 08:52:24"
55,"56e4424da9.mp4","Fu Lu Shou","fu-lu-shou",,2,"C9tT6Agi","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
56,"bcb9a9fe97.mp4","Guo Qiao Mian Dang","guo-qiao-mian-dang",,2,"UHSCEFxL","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
57,"521a47d26c.mp4","Hoi King Heen","hoi-king-heen",,2,"eIJ0Hmwq","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
58,"5b11d756a1.mp4","Mr and Mrs Fox","mr-and-mrs-fox",,2,"zmRFpoRf","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
59,"8a0f52a064.mp4","Mui Kee","mui-kee",,2,"hvOEsOIG","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
60,"70f5f72112.mp4","Social Place","social-place",,2,"CmAbJ8hB","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
61,"34285a844a.mp4","VEA","vea",,2,"m6JHxCGg","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
62,"6948f99518.mp4","Wing Lai Yuen","wing-lai-yuen",,2,"8XhIYwix","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
63,"f3afba7687.mp4","Oyster Sauce Chicken and Mushroom Stir Fry","oyster-sauce-chicken-and-mushroom-stir-fry",,3,"wrLRMCxF","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
64,"79194f496b.mp4","Oyster Sauce Secrets","oyster-sauce-secrets",,3,"xCUbMCLC","2017-01-01","2017-02-09 08:52:25","2017-02-09 08:52:25"
65,"a5e93f0b26.mp4","Oyster Sauce Pork Mince Recipe","oyster-sauce-pork-mince-recipe",,3,"eDKjo4bR","2017-01-01","2017-02-09 09:06:08","2017-02-09 09:06:08"
66,"0e539a4ad9.mp4","Oyster Sauce Prawns Recipe","oyster-sauce-prawns-recipe",,3,"v2sSKMs2","2017-01-01","2017-02-09 09:06:11","2017-02-09 09:06:11"
67,"9f1522ebc0.mp4","Soy Sauce Secrets","soy-sauce-secrets",,3,"x1Fuf7tR","2017-01-01","2017-02-09 09:06:13","2017-02-09 09:06:13"